,symbol,isin,name,market
145,ALFRE.PA,FR0004187367,FREELANCE.COM,Euronext Growth Paris
146,ALGAU.PA,FR0013495298,GAUSSIN,Euronext Growth Paris
147,ALGBE.PA,FR0011052257,GLOBAL BIOENERGIES,Euronext Growth Paris
148,ALGEC.PA,FR0000079634,GECI INTL,Euronext Growth Paris
149,ALGEN.PA,FR0004053510,GENOWAY,Euronext Growth Paris
150,ALGEV.PA,FR0000033888,GEVELOT,Euronext Growth Paris
151,ALGIL.PA,FR0012819381,GROUPE GUILLIN,Euronext Growth Paris
152,ALGIR.PA,FR0000060790,SIGNAUX GIROD,Euronext Growth Paris
153,ALGLD.PA,FR0011208693,GOLD BY GOLD,Euronext Growth Paris
154,ALGRO.PA,FR0014005ZM5,GROLLEAU,Euronext Growth Paris
155,ALGTR.PA,FR0013429404,GROUPE TERA,Euronext Growth Paris
156,ALHEO.PA,CA4433003064,H2O INNOVATION INC,Euronext Growth Paris
157,ALHF.PA,FR0000038531,HF COMPANY,Euronext Growth Paris
158,ALHGO.PA,GB00BMDXQ672,HAMILTON GLOBAL OP,Euronext Growth Paris
159,ALHGR.PA,FR0013451044,HOFFMANN,Euronext Growth Paris
160,ALHIO.PA,FR0000077562,HIOLLE INDUSTRIES,Euronext Growth Paris
161,ALHIT.PA,FR0010396309,HITECHPROS,Euronext Growth Paris
162,ALHRG.PA,FR0000066540,HERIGE,Euronext Growth Paris
163,ALHRS.PA,FR0014001PM5,HYDROGEN REFUELING,Euronext Growth Paris
164,ALHYG.PA,FR0004153930,HYBRIGENICS,Euronext Growth Paris
165,ALHYP.PA,FR0012821916,HIPAY GROUP,Euronext Growth Paris
166,ALI2S.PA,FR0005854700,I2S,Euronext Growth Paris
167,ALICR.PA,FR0014005IU4,I.CERAM,Euronext Growth Paris
168,ALIDS.PA,FR0000062184,IDSUD,Euronext Growth Paris
169,ALIE.PA,IT0005380602,ILBE,Euronext Growth Paris
170,ALIKO.PA,FR00140048X2,IKONISYS,Euronext Growth Paris
171,ALIMO.PA,FR0014000RP6,GROUPIMO,Euronext Growth Paris
172,ALIMP.PA,FR0013470168,IMPLANET,Euronext Growth Paris
173,ALIMR.PA,FR0013060100,IMMERSION,Euronext Growth Paris
174,ALINN.PA,FR0000064297,INNELEC MULTIMEDIA,Euronext Growth Paris
175,ALINS.PA,FR0011179886,INTRASENSE,Euronext Growth Paris
176,ALINT.PA,FR0010908723,INTEGRAGEN,Euronext Growth Paris
177,ALINV.PA,BE0974299316,INVIBES ADVERTSING,Euronext Growth Paris
178,ALISP.PA,ES0109429037,ISPD,Euronext Growth Paris
179,ALITL.PA,FR0000072597,IT LINK,Euronext Growth Paris
180,ALJXR.PA,FR0000182479,ARCHOS,Euronext Growth Paris
181,ALKAL.PA,FR0010722819,KALRAY,Euronext Growth Paris
182,ALKEM.PA,FR00140069V2,GROUPE BERKEM,Euronext Growth Paris
183,ALKER.PA,IT0005380438,MEDIA MAKER,Euronext Growth Paris
184,ALKEY.PA,FR0004029411,KEYRUS,Euronext Growth Paris
185,ALKKO.PA,FR0013374667,KKO INTERNATIONAL,Euronext Growth Paris
186,ALKLA.PA,FR0011038348,KLARSEN,Euronext Growth Paris
187,ALKLK.PA,FR0013156007,KERLINK,Euronext Growth Paris
188,ALKOM.PA,ES0105425005,KOMPUESTOS,Euronext Growth Paris
189,ALLAN.PA,FR0004027068,LANSON-BCC,Euronext Growth Paris
190,ALLDL.PA,FR0000075442,GROUPE LDLC,Euronext Growth Paris
191,ALLEC.PA,FR0013335742,COGELEC,Euronext Growth Paris
192,ALLEX.PA,FR0000033599,LEXIBOOK LINGUIST.,Euronext Growth Paris
193,ALLFG.AS,GB00BNTJ3546,ALLFUNDS GROUP,Euronext Amsterdam
194,ALLGO.PA,FR0013308582,LARGO,Euronext Growth Paris
195,ALLHB.PA,FR0007080254,LES HOTELS BAVEREZ,Euronext Growth Paris
196,ALLIX.PA,FR0010131409,WALLIX,Euronext Growth Paris
197,ALLLN.PA,ES0105089009,LLEIDA,Euronext Growth Paris
198,ALLOG.PA,FR0000044943,LOGIC INSTRUMENT,Euronext Growth Paris
